name,scope,employment
Natural Resources and Mining,Boyle County,105
Construction,Boyle County,403
Manufacturing,Boyle County,2017
"Trade, Transportation, and Utilities",Boyle County,2830
Information,Boyle County,104
Financial Activities,Boyle County,513
Professional and Business Services,Boyle County,1109
Education and Health Services,Boyle County,3301
Leisure and Hospitality,Boyle County,1586
Other Services and Unclassified,Boyle County,275
Natural Resources and Mining,Labor Market Area,3782
Construction,Labor Market Area,14559
Manufacturing,Labor Market Area,32832
"Trade, Transportation, and Utilities",Labor Market Area,54274
Information,Labor Market Area,3401
Financial Activities,Labor Market Area,10484
Professional and Business Services,Labor Market Area,35320
Education and Health Services,Labor Market Area,38483
Leisure and Hospitality,Labor Market Area,33363
Other Services and Unclassified,Labor Market Area,7388
