race,scope,number
White,Labor Market Area,533987
African American,Labor Market Area,61773
Native American and Alaska Native,Labor Market Area,1870
Asian,Labor Market Area,15584
Native Hawaiian & other Pacific Islander,Labor Market Area,428
Other/Multirace,Labor Market Area,13637
Hispanic Origin,Labor Market Area,32280
White,Boyle County,26524
African American,Boyle County,2337
Native American and Alaska Native,Boyle County,90
Asian,Boyle County,283
Native Hawaiian & other Pacific Islander,Boyle County,8
Other/Multirace,Boyle County,682
Hispanic Origin,Boyle County,1017
