name,description,employees,established
Advocate Messenger,Newspaper publishing and offset printing,20,1865
American Greetings,Distribution and paper product packaging center,551,1967
Berry Global Inc.,Polyethylene film & stretch wrap for commercial and medical use,184,1978
Burkmann Industries Inc.,"Animal feed, corporate headquarters",36,1979
Central Kentucky Federal Savings Bank,Headquarters/corporate office,25,1968
Dana Corporation,Diesel & gas engine gaskets,328,1987
Denyo Manufacturing Corp,"Diesel driven generators, natural gas/LPG driven electric generators, air compressors",150,1995
Essity,Distribution center for paper towel and tissue products,49,2007
Hobart,Commercial kitchen warewashing equipment manufacturing,114,1997
Honeywell Intelligrated Inc.,Conveyor equipment & systems,138,1974
LaFayette Engineering Inc.,Computer design and installation of controls for conveyor systems including high-speed case sortation,102,1989
LSC Communications,"Print, bind and ship/mail magazines, catalogs and inserts for major publishers",640,1985
Meggitt Aircraft Braking Systems,"Manufacture and distribution of carbon brake discs, brake assemblies and replacement components for the airline industry; aircraft brake components to OE manufacturers and end-user airlines",205,2006
National Office Furniture,Finished wood upholstered furniture,204,1946
Pioneer Voc/Ind Services Inc.,"Sheltered workshop: foam packaging, fabricating & mechanical subcontract assembling, sewing operation",48,1969
Sellers Manufacturing Co,"Boilers, water heaters and ancillary equipment for commercial, industrial and institutional markets",35,1947
The Timberland Co,"Full service fulfillment center distributing footwear, apparel and accessories across the wholesale, retail and e-commerce channels",76,1994
Transnav Technologies Kentucky,"Plastics injection molding company, current core business automotive",69,2002
UPS,Small package distribution,25,2010
Wilderness Trail Distillery,Craft distillery,23,2013
